filename,ride_id,frame_ts,lat,lon,vegetation,water,city,unsure,reject
DJI_0392_frame_00000.jpg,DJI_0392,0.0,,,1,0,0,0,0
DJI_0392_frame_00001.jpg,DJI_0392,1.0,,,1,0,0,0,0
DJI_0392_frame_00002.jpg,DJI_0392,2.0,,,1,0,0,0,0
DJI_0392_frame_00003.jpg,DJI_0392,3.0,,,1,0,0,0,0
DJI_0392_frame_00004.jpg,DJI_0392,4.0,,,1,0,0,0,0
DJI_0392_frame_00005.jpg,DJI_0392,5.0,,,0,0,1,0,0
DJI_0392_frame_00006.jpg,DJI_0392,6.0,,,0,0,1,1,0
DJI_0392_frame_00007.jpg,DJI_0392,7.0,,,0,0,1,1,0
DJI_0392_frame_00010.jpg,DJI_0392,10.0,,,0,0,1,0,0
DJI_0392_frame_00011.jpg,DJI_0392,11.0,,,0,0,1,0,0
DJI_0392_frame_00012.jpg,DJI_0392,12.0,,,0,0,1,0,0
DJI_0392_frame_00013.jpg,DJI_0392,13.0,,,1,0,1,0,0
DJI_0392_frame_00014.jpg,DJI_0392,14.0,,,1,0,1,0,0
DJI_0392_frame_00015.jpg,DJI_0392,15.0,,,0,0,1,1,0
DJI_0392_frame_00016.jpg,DJI_0392,16.0,,,0,0,1,0,0
DJI_0392_frame_00017.jpg,DJI_0392,17.0,,,0,0,1,0,0
DJI_0392_frame_00018.jpg,DJI_0392,18.0,,,0,0,1,1,0
DJI_0392_frame_00019.jpg,DJI_0392,19.0,,,0,0,1,0,0
DJI_0392_frame_00020.jpg,DJI_0392,20.0,,,0,0,1,1,0
DJI_0392_frame_00021.jpg,DJI_0392,21.0,,,1,0,1,0,0
DJI_0392_frame_00022.jpg,DJI_0392,22.0,,,1,0,1,0,0
DJI_0392_frame_00023.jpg,DJI_0392,23.0,,,1,0,0,0,0
DJI_0392_frame_00024.jpg,DJI_0392,24.0,,,1,0,0,0,0
DJI_0392_frame_00025.jpg,DJI_0392,25.0,,,1,0,0,0,0
DJI_0392_frame_00026.jpg,DJI_0392,26.0,,,1,1,0,0,0
DJI_0392_frame_00027.jpg,DJI_0392,27.0,,,1,0,0,0,0
DJI_0392_frame_00028.jpg,DJI_0392,28.0,,,1,0,0,0,0
DJI_0392_frame_00029.jpg,DJI_0392,29.0,,,1,1,0,0,0
DJI_0392_frame_00030.jpg,DJI_0392,30.0,,,1,1,0,0,0
DJI_0392_frame_00031.jpg,DJI_0392,31.0,,,1,1,0,0,0
DJI_0392_frame_00032.jpg,DJI_0392,32.0,,,1,0,0,0,0
DJI_0392_frame_00033.jpg,DJI_0392,33.0,,,1,0,0,0,0
DJI_0392_frame_00034.jpg,DJI_0392,34.0,,,1,0,0,0,0
DJI_0392_frame_00035.jpg,DJI_0392,35.0,,,1,0,0,0,0
DJI_0392_frame_00036.jpg,DJI_0392,36.0,,,1,0,0,0,0
DJI_0392_frame_00037.jpg,DJI_0392,37.0,,,1,0,0,0,0
DJI_0392_frame_00038.jpg,DJI_0392,38.0,,,1,0,0,0,0
DJI_0392_frame_00039.jpg,DJI_0392,39.0,,,1,0,0,0,0
DJI_0392_frame_00040.jpg,DJI_0392,40.0,,,1,0,0,0,0
DJI_0392_frame_00041.jpg,DJI_0392,41.0,,,1,0,0,0,0
DJI_0392_frame_00042.jpg,DJI_0392,42.0,,,1,0,0,0,0
DJI_0392_frame_00043.jpg,DJI_0392,43.0,,,1,0,0,0,0
DJI_0392_frame_00044.jpg,DJI_0392,44.0,,,1,0,0,0,0
DJI_0392_frame_00045.jpg,DJI_0392,45.0,,,1,0,0,0,0
DJI_0392_frame_00046.jpg,DJI_0392,46.0,,,1,0,0,0,0
DJI_0392_frame_00047.jpg,DJI_0392,47.0,,,1,0,0,0,0
DJI_0392_frame_00048.jpg,DJI_0392,48.0,,,1,0,0,0,0
DJI_0392_frame_00049.jpg,DJI_0392,49.0,,,1,0,0,0,0
DJI_0392_frame_00050.jpg,DJI_0392,50.0,,,1,0,0,0,0
DJI_0392_frame_00051.jpg,DJI_0392,51.0,,,1,0,0,0,0
DJI_0392_frame_00052.jpg,DJI_0392,52.0,,,1,0,1,0,0
DJI_0392_frame_00053.jpg,DJI_0392,53.0,,,1,0,0,0,0
DJI_0392_frame_00054.jpg,DJI_0392,54.0,,,1,0,0,0,0
